ID,RFAM#,Architecture,Clan,Family
F725,RF00556,hairpin,L19_leader,L19_leader
F726,RF00557,2H,L10_leader,L10_leader
F727,RF00558,3H,L20_leader,L20_leader
F728,RF00559,hairpin,L21_leader,L21_leader
F93,RF00560,2H,H/ACA-box,SNORA17
F729,RF00561,2H,H/ACA-box,SNORA40
F730,RF00562,2H,H/ACA-box,SNORA49
F731,RF00563,2H,H/ACA-box,SNORA53
F732,RF00564,2H,H/ACA-box,SCARNA11
F64,RF00565,2H,H/ACA-box,SCARNA3
F108,RF00566,2H,H/ACA-box,SNORA35
F733,RF00567,hairpin,C/D-box,SNORD17
F100,RF00568,2H,H/ACA-box,SNORA26
F151,RF00569,hairpin,C/D-box,SNORD19
F231,RF00570,hairpin,C/D-box,SNORD64
F190,RF00571,hairpin,C/D-box,SNORD65
F734,RF00572,hairpin,C/D-box,SNORD66
F735,RF00573,hairpin,C/D-box,SNORD67
F736,RF00574,hairpin,C/D-box,SNORD69
F737,RF00575,hairpin,C/D-box,SNORD70
F738,RF00576,2H,H/ACA-box,SNORD71
F739,RF00577,hairpin,C/D-box,SNORD72
F740,RF00578,hairpin,C/D-box,SNORD89
F741,RF00579,hairpin,C/D-box,SNORD90
F742,RF00580,hairpin,C/D-box,SNORD91
F141,RF00581,hairpin,C/D-box,SNORD12
F743,RF00582,2H,H/ACA-box,SCARNA14
F246,RF00584,hairpin,C/D-box,SNORD105
F744,RF00586,2H,H/ACA-box,SNORA12
F194,RF00588,hairpin,C/D-box,SNORD41
F235,RF00591,hairpin,C/D-box,SNORD77
F164,RF00592,hairpin,C/D-box,SNORD78
F745,RF00593,hairpin,C/D-box,snoU83B
F746,RF00594,hairpin,C/D-box,SNORD86
F109,RF00598,2H,H/ACA-box,SNORA76
F747,RF00599,2H,H/ACA-box,SNORA77
F748,RF00600,2H,H/ACA-box,SNORA79
F749,RF00601,2H,H/ACA-box,SCARNA20
F750,RF00602,2H,H/ACA-box,SCARNA21
F751,RF00603,hairpin,C/D-box,SNORD23
F237,RF00604,hairpin,C/D-box,SNORD88
F752,RF00606,hairpin,C/D-box,SNORD93
F753,RF00607,hairpin,C/D-box,SNORD98
F210,RF00608,hairpin,C/D-box,SNORD99
F243,RF00609,hairpin,C/D-box,SNORD100
F248,RF00610,hairpin,C/D-box,SNORD110
F754,RF00611,hairpin,C/D-box,SNORD111
F755,RF00612,hairpin,C/D-box,SNORD75
F756,RF00613,hairpin,C/D-box,SNORD94
F757,RF00614,2H,H/ACA-box,SNORA11
F758,RF00615,4H,LhrA,LhrA
F759,RF00616,2H,LhrC,LhrC
F760,RF00617,hairpin,cHP,cHP
F31,RF00618,U4_snRNA,U4,U4atac
F35,RF00619,Intron_gpII-like,U6,U6atac
F761,RF00620,2H,HCV_ARF_SL,HCV_ARF_SL
F762,RF00621,complex unclassified,CoTC_ribozyme,CoTC_ribozyme
F763,RF00622,complex unclassified,CPEB3_ribozyme,CPEB3_ribozyme
F764,RF00623,2H,P1,P1
F765,RF00624,2H,P9,P9
F766,RF00625,4WJ,P11,P11
F767,RF00626,hairpin,Gurken,Gurken
F768,RF00627,4H,P15,P15
F769,RF00628,3WJ,P16,P16
F770,RF00629,complex unclassified,P24,P24
F771,RF00630,2H,P26,P26
F772,RF00632,3WJ,sxy,sxy
F44,RF00634,3WJ,SAM,SAM-IV
F773,RF00635,3WJ,HAR1A,HAR1A
F774,RF00636,complex unclassified,NRON,NRON
F775,RF00637,hairpin,miRNA2,mir-276
F776,RF00638,hairpin,MIR159,MIR159
F291,RF00639,hairpin,mir-290,mir-515
F777,RF00640,hairpin,MIR167_1,MIR167_1
F778,RF00641,hairpin,miRNA2,mir-154
F779,RF00642,hairpin,miRNA2,mir-23
F299,RF00643,hairpin,miRNA1,MIR171_1
F780,RF00644,hairpin,miRNA2,mir-27
F297,RF00645,hairpin,miRNA1,MIR169_2
F781,RF00646,hairpin,miRNA2,mir-204
F782,RF00647,hairpin,MIR164,MIR164
F783,RF00648,hairpin,MIR396,MIR396
F784,RF00649,hairpin,miRNA2,mir-128
F785,RF00650,hairpin,miRNA2,mir-153
F786,RF00651,hairpin,miRNA2,mir-221
F787,RF00652,hairpin,MIR478,MIR478
F788,RF00653,hairpin,miRNA2,mir-22
F287,RF00654,hairpin,miRNA2,mir-216
F268,RF00655,hairpin,miRNA1,mir-28
F789,RF00656,hairpin,miRNA2,mir-205
F790,RF00657,hairpin,miRNA2,mir-184
F791,RF00658,hairpin,miRNA2,mir-21
F792,RF00659,hairpin,miRNA2,mir-365
F793,RF00660,hairpin,miRNA2,mir-214
F794,RF00661,hairpin,mir-31,mir-31
F795,RF00662,hairpin,mir-132,mir-132
F283,RF00663,hairpin,miRNA2,mir-183
F796,RF00664,hairpin,miRNA2,mir-223
F292,RF00665,hairpin,miRNA2,mir-290
F797,RF00666,hairpin,miRNA2,mir-32
F798,RF00667,hairpin,miRNA2,mir-33
F293,RF00668,hairpin,miRNA2,mir-302
F799,RF00669,hairpin,miRNA2,mir-96
F800,RF00670,hairpin,miRNA2,mir-105
F801,RF00671,hairpin,miRNA2,mir-138
F275,RF00672,hairpin,miRNA2,mir-190
F802,RF00673,hairpin,miRNA2,mir-217
F803,RF00674,hairpin,miRNA2,mir-187
F804,RF00675,hairpin,miRNA2,mir-145
F805,RF00676,hairpin,miRNA2,mir-127
F806,RF00677,hairpin,miRNA1,MIR168
F807,RF00678,hairpin,miRNA2,mir-140
F808,RF00679,hairpin,miRNA2,mir-210
F809,RF00680,hairpin,miRNA2,mir-224
F810,RF00681,hairpin,miRNA2,mir-198
F811,RF00682,hairpin,miRNA2,mir-144
F812,RF00683,hairpin,miRNA2,mir-143
F813,RF00684,hairpin,miRNA2,mir-122
F272,RF00685,hairpin,miRNA2,mir-36
F814,RF00686,hairpin,miRNA2,mir-338
F815,RF00687,hairpin,miRNA2,mir-136
F816,RF00688,hairpin,miRNA1,MIR394
F817,RF00689,hairpin,miRNA1,MIR390
F818,RF00690,hairpin,miRNA1,MIR408
F819,RF00691,hairpin,miRNA2,mir-146
F300,RF00692,hairpin,miRNA1,MIR171_2
F820,RF00693,hairpin,miRNA2,mir-147
F281,RF00694,hairpin,miRNA2,mir-137
F821,RF00695,hairpin,miRNA1,MIR398
F822,RF00696,hairpin,miRNA2,mir-203
F823,RF00697,hairpin,miRNA2,mir-186
F824,RF00698,hairpin,miRNA2,mir-489
F825,RF00699,hairpin,miRNA2,mir-134
F826,RF00700,hairpin,miRNA2,mir-375
F827,RF00701,hairpin,miRNA2,mir-126
F284,RF00702,hairpin,miRNA2,mir-182
F828,RF00703,hairpin,miRNA2,mir-139
F829,RF00704,hairpin,miRNA1,MIR397
F830,RF00705,hairpin,miRNA2,mir-202
F285,RF00706,hairpin,miRNA2,mir-263
F831,RF00707,hairpin,miRNA2,mir-197
F832,RF00708,hairpin,miRNA2,mir-450
F833,RF00709,hairpin,miRNA2,mir-455
F834,RF00710,hairpin,miRNA2,mir-44
F271,RF00711,hairpin,miRNA2,mir-449
F835,RF00712,hairpin,miRNA2,mir-460
F836,RF00713,hairpin,miRNA2,mir-239
F837,RF00714,hairpin,miRNA2,MIR535
F838,RF00715,hairpin,miRNA2,mir-383
F264,RF00716,hairpin,miRNA2,mir-3
F839,RF00717,hairpin,miRNA2,mir-315
F840,RF00718,hairpin,miRNA2,mir-431
F841,RF00719,hairpin,miRNA2,mir-326
F842,RF00720,hairpin,miRNA2,mir-317
F843,RF00721,hairpin,miRNA1,MIR475
F844,RF00722,hairpin,miRNA2,mir-451
F845,RF00723,hairpin,miRNA2,mir-448
F846,RF00724,hairpin,miRNA2,mir-282
F847,RF00725,hairpin,miRNA2,mir-iab-4
F848,RF00726,hairpin,miRNA2,mir-87
F279,RF00727,hairpin,mir-81,bantam
F280,RF00728,hairpin,miRNA2,mir-81
F849,RF00729,hairpin,miRNA2,mir-278
F850,RF00730,hairpin,miRNA1,mir-277
F851,RF00731,hairpin,miRNA2,mir-155
F852,RF00732,hairpin,miRNA2,mir-305
F853,RF00733,hairpin,miRNA2,mir-296
F854,RF00734,hairpin,miRNA2,mir-52
F855,RF00735,hairpin,miRNA2,mir-367
F856,RF00736,hairpin,miRNA2,mir-320
F857,RF00737,hairpin,miRNA2,mir-322
F858,RF00739,hairpin,miRNA2,MIR476
F859,RF00740,hairpin,miRNA2,mir-370
F860,RF00741,hairpin,miRNA2,mir-378
F861,RF00742,hairpin,miRNA1,MIR162_2
F862,RF00743,hairpin,miRNA2,mir-308
F863,RF00744,hairpin,miRNA2,mir-361
F864,RF00745,hairpin,miRNA2,mir-499
F865,RF00746,hairpin,miRNA2,mir-454
F288,RF00747,hairpin,miRNA2,mir-283
F866,RF00748,hairpin,miRNA2,mir-433
F867,RF00749,hairpin,miRNA2,mir-208
F868,RF00750,hairpin,miRNA2,mir-458
F869,RF00751,hairpin,miRNA2,mir-12
F870,RF00752,hairpin,miRNA2,mir-14
F871,RF00753,hairpin,miRNA2,mir-503
F289,RF00754,hairpin,miRNA2,mir-279
F872,RF00755,hairpin,miRNA2,mir-542
F873,RF00756,hairpin,miRNA2,mir-299
F874,RF00757,hairpin,miRNA2,mir-275
F875,RF00758,hairpin,miRNA2,mir-346
F876,RF00760,hairpin,miRNA2,mir-342
F877,RF00761,hairpin,miRNA2,mir-340
F878,RF00762,hairpin,miRNA2,mir-412
F879,RF00763,hairpin,miRNA2,mir-339
F880,RF00764,hairpin,miRNA2,mir-191
F881,RF00765,hairpin,miRNA2,mir-337
F882,RF00766,hairpin,miRNA2,mir-335
F883,RF00767,hairpin,miRNA2,mir-150
F884,RF00768,hairpin,miRNA2,MIR405
F885,RF00769,hairpin,miRNA2,mir-331
F886,RF00770,hairpin,miRNA2,mir-330
F887,RF00771,hairpin,miRNA2,mir-185
F888,RF00772,hairpin,miRNA2,mir-328
F889,RF00773,hairpin,miRNA2,mir-298
F890,RF00774,hairpin,miRNA2,mir-360
F891,RF00775,hairpin,miRNA2,mir-432
F892,RF00776,hairpin,miRNA2,mir-540
F893,RF00777,hairpin,miRNA2,mir-541
F894,RF00778,hairpin,miRNA1,MIR473
F895,RF00779,hairpin,miRNA1,MIR474
F896,RF00780,hairpin,miRNA1,MIR477
F897,RF00781,hairpin,miRNA2,mir-505
F898,RF00782,hairpin,miRNA1,MIR480
F899,RF00783,hairpin,miRNA2,mir-484
F900,RF00784,hairpin,miRNA2,mir-486
F901,RF00785,hairpin,miRNA2,mir-90
F902,RF00786,hairpin,miRNA2,mir-289
F903,RF00787,hairpin,miRNA2,mir-288
F904,RF00788,hairpin,miRNA2,mir-287
F905,RF00789,hairpin,miRNA1,mir-286
F906,RF00790,hairpin,miRNA2,mir-358
F907,RF00791,hairpin,miRNA2,mir-357
F908,RF00792,hairpin,miRNA2,mir-490
F909,RF00793,hairpin,miRNA2,mir-497
F273,RF00794,hairpin,miRNA2,mir-42
F910,RF00795,hairpin,miRNA2,mir-43
F911,RF00796,hairpin,miRNA2,mir-48
F912,RF00797,hairpin,miRNA2,mir-355
F913,RF00798,hairpin,miRNA2,mir-49
F914,RF00799,hairpin,miRNA2,mir-354
F915,RF00800,hairpin,miRNA2,mir-353
F916,RF00801,hairpin,miRNA2,mir-280
F917,RF00802,hairpin,miRNA2,mir-207
F918,RF00803,hairpin,miRNA2,mir-425
F919,RF00804,hairpin,miRNA2,mir-240
F920,RF00805,hairpin,miRNA2,mir-351
F921,RF00806,hairpin,miRNA2,mir-350
F922,RF00807,hairpin,miRNA2,mir-314
F923,RF00808,hairpin,miRNA2,mir-86
F924,RF00809,hairpin,miRNA2,mir-241
F925,RF00810,hairpin,miRNA2,mir-85
F926,RF00811,hairpin,miRNA2,mir-84
F927,RF00812,hairpin,miRNA2,mir-83
F263,RF00813,hairpin,miRNA1,mir-11
F928,RF00814,hairpin,miRNA2,mir-316
F929,RF00815,hairpin,miRNA2,mir-244
F930,RF00816,hairpin,miRNA2,mir-245
F931,RF00817,hairpin,miRNA2,mir-80
F265,RF00818,hairpin,miRNA2,mir-318
F932,RF00819,hairpin,miRNA2,mir-246
F933,RF00820,hairpin,miRNA2,mir-248
F934,RF00821,hairpin,miRNA2,mir-249
F935,RF00822,hairpin,miRNA1,mir-274
F936,RF00823,hairpin,lsy-6,lsy-6
F276,RF00824,hairpin,miRNA2,mir-50
F937,RF00825,hairpin,miRNA2,mir-344
F938,RF00826,hairpin,miRNA2,mir-55
F939,RF00827,hairpin,miRNA2,mir-77
F940,RF00828,hairpin,miRNA2,mir-75
F941,RF00829,hairpin,miRNA2,mir-149
F277,RF00830,hairpin,miRNA2,mir-74
F278,RF00831,hairpin,miRNA2,mir-73
F942,RF00832,hairpin,miRNA2,mir-71
F943,RF00833,hairpin,miRNA2,mir-70
F944,RF00834,hairpin,miRNA2,mir-268
F945,RF00835,hairpin,miRNA2,mir-58
F946,RF00836,hairpin,miRNA2,mir-250
F947,RF00837,hairpin,miRNA2,mir-251
F948,RF00838,hairpin,mir-252,mir-252
F949,RF00839,hairpin,miRNA2,mir-452
F950,RF00840,hairpin,miRNA2,mir-374
F951,RF00841,hairpin,miRNA2,mir-384
F952,RF00842,hairpin,miRNA1,MIR403
F286,RF00843,hairpin,miRNA2,mir-228
F953,RF00844,hairpin,miRNA2,mir-67
F954,RF00845,hairpin,miRNA2,MIR158
F955,RF00846,hairpin,miRNA2,mir-64
F956,RF00847,hairpin,miRNA2,mir-62
F957,RF00848,hairpin,miRNA2,mir-61
F958,RF00849,hairpin,miRNA2,mir-60
F959,RF00850,hairpin,miRNA2,mir-259
F960,RF00851,hairpin,miRNA2,mir-230
F961,RF00852,hairpin,miRNA2,mir-231
F962,RF00853,hairpin,miRNA2,mir-304
F963,RF00854,hairpin,miRNA2,mir-5
F964,RF00855,hairpin,miRNA2,mir-254
F965,RF00856,hairpin,miRNA2,mir-232
F966,RF00857,hairpin,miRNA2,mir-233
F967,RF00858,hairpin,miRNA2,mir-306
F282,RF00859,hairpin,miRNA2,mir-234
F968,RF00861,hairpin,miRNA2,mir-488
F969,RF00862,hairpin,miRNA2,mir-491
F970,RF00863,hairpin,miRNA2,mir-BART17
F971,RF00864,hairpin,miRNA2,mir-BART20
F298,RF00865,hairpin,miRNA1,MIR169_5
F296,RF00866,hairpin,miRNA2,mir-BART3
F972,RF00867,hairpin,miRNA2,mir-BART5
F973,RF00868,hairpin,miRNA2,mir-BART15
F974,RF00869,hairpin,miRNA2,mir-BART7
F975,RF00870,hairpin,miRNA2,mir-423
F976,RF00871,hairpin,miRNA1,mir-689
F977,RF00872,hairpin,miRNA2,mir-652
F978,RF00873,hairpin,miRNA2,mir-550
F979,RF00874,hairpin,miRNA2,mir-BART12
F980,RF00875,hairpin,miRNA2,mir-692
F981,RF00876,hairpin,miRNA2,mir-684
F982,RF00877,hairpin,miRNA2,mir-592
F983,RF00878,hairpin,miRNA2,mir-456
F984,RF00879,hairpin,miRNA2,mir-615
F985,RF00882,hairpin,MIR811,MIR811
F986,RF00883,hairpin,MIR820,MIR820
F987,RF00884,hairpin,miRNA2,MIR815
F988,RF00885,hairpin,MIR821,MIR821
F989,RF00886,hairpin,MIR807,MIR807
F990,RF00887,hairpin,miRNA2,mir-802
F991,RF00888,hairpin,miRNA2,mir-770
F992,RF00890,hairpin,miRNA2,mir-668
F993,RF00891,hairpin,miRNA2,mir-671
F994,RF00892,hairpin,miRNA2,mir-551
F995,RF00893,hairpin,MIR854,MIR854
F996,RF00894,hairpin,miRNA2,mir-790
F997,RF00895,hairpin,miRNA2,mir-786
F998,RF00896,hairpin,miRNA2,mir-787
F999,RF00897,hairpin,miRNA2,mir-675
F1000,RF00898,hairpin,miRNA2,mir-242
F1001,RF00899,hairpin,miRNA2,mir-235
F1002,RF00900,hairpin,miRNA2,mir-255
F1003,RF00901,hairpin,miRNA2,MIR845_1
F1004,RF00902,hairpin,miRNA2,mir-791
F1005,RF00903,hairpin,miRNA2,mir-359
F1006,RF00904,hairpin,miRNA2,mir-392
F1007,RF00905,hairpin,miRNA2,mir-789
F1008,RF00906,hairpin,miRNA1,MIR1122
F1009,RF00907,hairpin,miRNA2,mir-941
F1010,RF00908,hairpin,miRNA1,MIR529
F1011,RF00909,hairpin,miRNA2,mir-883
F1012,RF00910,hairpin,mir-872,mir-873
F1013,RF00911,hairpin,miRNA2,mir-672
F1014,RF00912,hairpin,miRNA2,mir-877
F1015,RF00914,hairpin,miRNA2,mir-674
F1016,RF00915,hairpin,miRNA2,mir-760
F269,RF00917,hairpin,miRNA2,mir-708
F1017,RF00918,hairpin,miRNA2,mir-872
F1018,RF00919,hairpin,miRNA2,mir-874
F1019,RF00920,hairpin,miRNA1,MIR444
F1020,RF00921,hairpin,miRNA2,mir-665
F1021,RF00922,hairpin,miRNA2,mir-673
F1022,RF00925,hairpin,miRNA2,MIR1027
F1023,RF00926,hairpin,MIR1151,MIR1151
F1024,RF00927,hairpin,miRNA2,mir-582
F1025,RF00928,hairpin,miRNA2,mir-590
F1026,RF00929,hairpin,miRNA2,mir-574
F1027,RF00931,hairpin,miRNA2,mir-879
F1028,RF00932,hairpin,miRNA2,mir-471
F1029,RF00933,hairpin,miRNA2,mir-875
F1030,RF00934,hairpin,miRNA2,mir-463
F1031,RF00935,hairpin,miRNA2,mir-876
F1032,RF00936,hairpin,miRNA2,mir-744
F1033,RF00937,hairpin,miRNA2,mir-653
F1034,RF00939,hairpin,miRNA2,mir-504
F1035,RF00940,hairpin,mir-327,mir-327
F1036,RF00941,hairpin,miRNA2,mir-434
F1037,RF00942,hairpin,miRNA2,mir-1224
F1038,RF00943,hairpin,MIR824,MIR824
F1039,RF00945,hairpin,miRNA2,mir-1226
F1040,RF00946,hairpin,mir-1225,mir-1225
F1041,RF00947,hairpin,miRNA2,mir-929
F290,RF00948,hairpin,miRNA2,mir-996
F1042,RF00949,hairpin,miRNA2,mir-983
F1043,RF00950,hairpin,miRNA2,mir-927
F1044,RF00951,hairpin,mir-1302,mir-1302
F1045,RF00952,hairpin,miRNA2,mir-650
F1046,RF00953,hairpin,mir-1497,mir-1497
F1047,RF00954,hairpin,miRNA2,MIR1446
F1048,RF00955,hairpin,miRNA2,mir-1829
F1049,RF00956,hairpin,miRNA2,MIR1444
F1050,RF00957,hairpin,miRNA2,mir-663
F1051,RF00958,hairpin,miRNA2,mir-498
F1052,RF00959,hairpin,miRNA2,mir-612
F1053,RF00960,hairpin,miRNA2,mir-661
F1054,RF00961,hairpin,miRNA2,mir-581
F1055,RF00962,hairpin,miRNA2,mir-586
F1056,RF00963,hairpin,miRNA2,mir-642
F1057,RF00964,hairpin,miRNA2,mir-938
F1058,RF00965,hairpin,miRNA2,mir-549
F1059,RF00966,hairpin,miRNA2,mir-676
F1060,RF00967,hairpin,miRNA2,mir-281
F1061,RF00968,hairpin,miRNA2,mir-626
F1062,RF00969,hairpin,miRNA2,mir-556
F1063,RF00970,hairpin,miRNA2,mir-648
F1064,RF00971,hairpin,miRNA2,mir-578
F1065,RF00972,hairpin,miRNA2,mir-651
F1066,RF00973,hairpin,miRNA2,mir-597
F1067,RF00974,hairpin,miRNA2,mir-607
F1068,RF00975,hairpin,MIR845_2,MIR845_2
F1069,RF00976,hairpin,miRNA2,mir-583
F1070,RF00977,hairpin,miRNA2,mir-600
F1071,RF00978,hairpin,mir-638,mir-638
F1072,RF00979,hairpin,miRNA2,mir-553
F1073,RF00980,hairpin,miRNA2,mir-643
F1074,RF00981,hairpin,miRNA2,mir-939
F1075,RF00983,hairpin,miRNA2,mir-662
F1076,RF00984,hairpin,miRNA2,mir-576
F1077,RF00985,hairpin,miRNA2,mir-640
F1078,RF00986,hairpin,miRNA2,mir-920
F1079,RF00987,hairpin,miRNA2,mir-589
F1080,RF00988,hairpin,miRNA2,mir-657
F1081,RF00989,hairpin,miRNA2,mir-492
F1082,RF00990,hairpin,miRNA2,mir-552
F1083,RF00991,hairpin,miRNA2,mir-599
F1084,RF00992,hairpin,miRNA2,mir-593
F1085,RF00993,hairpin,miRNA2,mir-1473
F1086,RF00994,hairpin,miRNA2,mir-1255
F1087,RF00995,hairpin,miRNA2,mir-616
F1088,RF00996,hairpin,miRNA2,mir-631
F1089,RF00997,hairpin,miRNA2,mir-942
F1090,RF00998,hairpin,miRNA2,mir-562
F1091,RF00999,hairpin,mir-924,mir-924
F1092,RF01000,hairpin,miRNA2,mir-580
F1093,RF01001,hairpin,miRNA2,mir-609
F1094,RF01002,hairpin,miRNA2,mir-936
F1095,RF01003,hairpin,miRNA2,mir-563
F1096,RF01004,hairpin,miRNA2,mir-557
F1097,RF01005,hairpin,miRNA1,MIR530
F1098,RF01006,hairpin,mir-601,mir-601
F1099,RF01007,hairpin,miRNA2,mir-624
F1100,RF01008,hairpin,miRNA2,mir-636
F1101,RF01009,hairpin,miRNA2,mir-M7
F1102,RF01010,hairpin,miRNA2,mir-632
F1103,RF01011,hairpin,miRNA2,mir-605
F1104,RF01012,hairpin,miRNA2,mir-628
F1105,RF01013,hairpin,miRNA2,mir-577
F1106,RF01014,hairpin,mir-1306,mir-1306
F1107,RF01015,hairpin,miRNA2,mir-885
F1108,RF01016,hairpin,miRNA1,mir-584
F1109,RF01018,hairpin,miRNA2,mir-569
F1110,RF01019,hairpin,miRNA2,mir-922
F1111,RF01020,hairpin,miRNA2,mir-572
F1112,RF01021,hairpin,miRNA2,mir-558
F1113,RF01022,hairpin,mir-611,mir-611
F1114,RF01023,hairpin,miRNA2,mir-940
F1115,RF01024,hairpin,miRNA2,mir-944
F1116,RF01025,hairpin,miRNA2,mir-934
F1117,RF01026,hairpin,miRNA1,MIR828
F1118,RF01027,hairpin,miRNA2,mir-765
F1119,RF01028,hairpin,miRNA2,mir-633
F1120,RF01029,hairpin,miRNA1,mir-649
F1121,RF01030,hairpin,miRNA2,mir-422
F1122,RF01031,hairpin,miRNA2,mir-639
F1123,RF01032,hairpin,mir-554,mir-554
F1124,RF01033,hairpin,miRNA2,mir-767
F1125,RF01034,hairpin,miRNA2,mir-618
F1126,RF01035,hairpin,miRNA2,mir-887
F1127,RF01036,hairpin,miRNA2,mir-567
F1128,RF01037,hairpin,miRNA2,mir-644
F1129,RF01038,hairpin,miRNA2,mir-1307
F1130,RF01039,hairpin,miRNA2,mir-937
F1131,RF01040,hairpin,miRNA2,mir-573
F1132,RF01041,hairpin,miRNA2,mir-604
F1133,RF01042,hairpin,miRNA2,mir-891
F1134,RF01043,hairpin,miRNA1,MIR1023
F1135,RF01044,hairpin,miRNA2,mir-345
F1136,RF01045,hairpin,miRNA1,mir-544
F1137,RF01046,hairpin,WLE3,WLE3
F317,RF01047,hairpin,Hepadnavirus_epsilon,HBV_epsilon
F24,RF01050,telomerase,Telomerase,Sacc_telomerase
F1138,RF01051,2H,c-di-GMP-I,c-di-GMP-I
F47,RF01052,2H,7SK,Arthropod_7SK
F1139,RF01053,3WJ,Deinococcus_Y_RNA,Deinococcus_Y_RNA
F1140,RF01054,3H,preQ1-II,preQ1-II
F1141,RF01055,complex unclassified,MOCO_RNA_motif,MOCO_RNA_motif
F1142,RF01056,3WJ,Mg_sensor,Mg_sensor
F1143,RF01057,hairpin,SAH_riboswitch,SAH_riboswitch
F1144,RF01059,hairpin,miRNA2,mir-598
F1145,RF01061,hairpin,miRNA2,mir-548
F1146,RF01064,hairpin,miRNA2,mir-253
F1147,RF01065,2H,23S-methyl,23S-methyl
F1148,RF01066,pseudoknot_simple,6C,6C
F1149,RF01067,3WJ,ATPC,ATPC
F1150,RF01068,2H,mini-ykkC,mini-ykkC
F1151,RF01069,2H,purD,purD
F1152,RF01070,4WJ,sucA,sucA
F1153,RF01071,complex unclassified,OLE,OLE
F1154,RF01072,pseudoknot_simple,TMV_UPD-PK3,TMV_UPD-PK3
F1155,RF01073,pseudoknot_simple,GP_knot1,GP_knot1
F1156,RF01074,hairpin,RF_site1,RF_site1
F1157,RF01075,tRNA-like,tRNA,TLS-PK1
F1158,RF01076,pseudoknot_simple,RF_site2,RF_site2
F1159,RF01077,tRNA-like,tRNA,TLS-PK2
F1160,RF01078,complex unclassified,PK-PYVV,PK-PYVV
F1161,RF01079,pseudoknot_simple,RF_site3,RF_site3
F1162,RF01080,pseudoknot_simple,UPD-PKib,UPD-PKib
F1163,RF01081,pseudoknot_simple,SBWMV1_UPD-PKe,SBWMV1_UPD-PKe
F1164,RF01082,pseudoknot_simple,SBWMV1_UPD-PKh,SBWMV1_UPD-PKh
F1165,RF01083,pseudoknot_simple,UPD-PK2,UPD-PK2
F1166,RF01084,tRNA-like,tRNA,TLS-PK3
F1167,RF01085,tRNA-like,tRNA,TLS-PK4
F1168,RF01087,pseudoknot_simple,PK-repZ,PK-repZ
F1169,RF01088,tRNA-like,tRNA,TLS-PK5
F1170,RF01089,hairpin,PK-repBA,PK-repBA
F1171,RF01090,pseudoknot_simple,RF_site4,RF_site4
F1172,RF01091,complex unclassified,PK-SPCSV,PK-SPCSV
F1173,RF01092,pseudoknot_simple,GP_knot2,GP_knot2
F1174,RF01093,pseudoknot_simple,RF_site5,RF_site5
F1175,RF01094,pseudoknot_simple,RF_site6,RF_site6
F1176,RF01095,complex unclassified,PK-CuYV_BPYV,PK-CuYV_BPYV
F1177,RF01096,pseudoknot_simple,PK-HAV,PK-HAV
F1178,RF01097,pseudoknot_simple,RF_site8,RF_site8
F1179,RF01098,pseudoknot_simple,RF_site9,RF_site9
F1180,RF01099,pseudoknot_simple,PK-IAV,PK-IAV
F1181,RF01100,pseudoknot_simple,PK-BYV,PK-BYV
F1182,RF01101,tRNA-like,tRNA,TLS-PK6
F1183,RF01102,pseudoknot_simple,PK1-TEV_CVMV,PK1-TEV_CVMV
F1184,RF01103,pseudoknot_simple,UPD-PKc,UPD-PKc
F1185,RF01104,pseudoknot_simple,SBWMV2_UPD-PKb,SBWMV2_UPD-PKb
F1186,RF01105,pseudoknot_simple,SBWMV2_UPD-PKl,SBWMV2_UPD-PKl
F1187,RF01106,pseudoknot_simple,SBWMV1_UPD-PKb,SBWMV1_UPD-PKb
F1188,RF01107,pseudoknot_simple,SBRMV1_UPD-PKf,SBRMV1_UPD-PKf
F1189,RF01108,pseudoknot_simple,BMV3_UPD-PK1,BMV3_UPD-PK1
F1190,RF01109,pseudoknot_simple,SBRMV1_UPD-PKd,SBRMV1_UPD-PKd
F1191,RF01111,pseudoknot_simple,SBWMV2_UPD-PKk,SBWMV2_UPD-PKk
F1192,RF01113,pseudoknot_simple,BMV3_UPD-PK3,BMV3_UPD-PK3
F1193,RF01114,pseudoknot_simple,TMV_UPD-PK1,TMV_UPD-PK1
F1194,RF01116,2H,Yfr1,Yfr1
F1195,RF01117,hairpin,miRNA2,ciona-mir-92
F1197,RF01119,hairpin,C/D-box,sR32
F1198,RF01120,hairpin,C/D-box,sR33
F1199,RF01121,hairpin,C/D-box,sR38
F1200,RF01122,hairpin,C/D-box,sR39
F1201,RF01123,hairpin,C/D-box,sR35
F1202,RF01124,hairpin,C/D-box,sR36
F1203,RF01125,hairpin,C/D-box,sR4
F1204,RF01126,hairpin,C/D-box,sR41
F1205,RF01127,hairpin,C/D-box,sR42
F1206,RF01128,hairpin,C/D-box,sR43
F1207,RF01129,hairpin,C/D-box,sR44
F1208,RF01130,hairpin,C/D-box,sR46
F1209,RF01131,hairpin,C/D-box,sR47
F1210,RF01132,hairpin,C/D-box,sR48
F1211,RF01133,hairpin,C/D-box,sR3
F1212,RF01134,hairpin,C/D-box,sR30
F1213,RF01135,hairpin,C/D-box,sR24
F1214,RF01136,hairpin,C/D-box,sR28
F1215,RF01137,hairpin,C/D-box,sR21
F1216,RF01138,hairpin,C/D-box,sR23
F1217,RF01139,hairpin,C/D-box,sR2
F1218,RF01140,hairpin,C/D-box,sR20
F1219,RF01141,hairpin,C/D-box,sR18
